default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.306,-0.049,-0.604,-0.754,-0.845,-1.228,-1.229,-1.230,-1.231,-1.232,-1.233
0.100,0.666,0.596,0.056,-0.360,-0.844,-0.845,-0.846,-0.847,-0.848,-0.849,-0.850
0.200,1.155,1.003,0.955,0.630,0.298,0.158,-0.562,-0.605,-0.619,-0.619,-0.620
0.300,1.751,1.624,1.584,1.520,0.333,0.332,0.331,0.330,0.128,0.127,0.126
0.400,2.650,2.485,2.346,2.131,1.062,0.709,0.708,0.707,0.706,0.705,0.704
0.500,3.300,3.250,3.120,2.920,2.680,2.352,2.237,2.157,1.974,1.783,1.640
